Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Oil - Olive|0|1/4 cup|54|0|477|0|0|0|0|54|7,2|40|45|0,2|0|0|1|0|0|0|0|0|0|0|0|0|FATS AND OILS
Oil - Peanut|0|1/4 cup|54|0|477|0|0|0|0|54|9,1|25|17,3|0|0|0|1|0|0|0|0|0|0|0|0|0|FATS AND OILS
Oil - Corn|0|1/4 cup|54|0|482|0|0|0|0|54|6,9|13,2|32|0|0|0|1|0|0|0,1|0|0|0|0|0|0|FATS AND OILS
Safflower|0|1/4 cup|54|0|482|0|0|0|0|54|5|6,6|41|0|0|0|1|0|0|0,1|0|0|0|0|0|0|FATS AND OILS
Soybean|0|1/4 cup|54|0|482|0|0|0|0|54|8,1|23,4|21|0|0|0|1|0|0|0,1|0|0|0|0|0|0|FATS AND OILS
Cream sour cultured|268|1 cup|230|71|493|7,3|9,8|0|102|48,2|30|13,9|1,8|0,1|26|123|195|1,37|331|0,7|0,15|0,08|0,34|448|0,04|2|DAIRY
Margarine Spread (60% fat) hard|24|1/2 cup|113|37|610|0,7|0|0|0|68,7|15,9|29,3|20,4|0|2|1123|18|1,33|34|0,2|0,02|0,01|0,03|1122|0,01|0|FATS AND OILS
White rice, raw dry|44|1 cup|185|12|670|12,4|149|2,6|0|0,7|0,2|0,2|0,3|5,4|63|9|174|0,25|170|2,4|6,48|0,81|0,06|0|0,3|0|GRAIN PRODUCTS
English walnuts, chopped|113|1 cup|120|4|770|17,2|22|8,4|0|74,2|6,7|17|47|2,9|203|12|380|0,3|602|3,3|1,25|0,46|0,18|15|0,67|4|NUTS, SEEDS AND PRODUCTS
Margarine - Regular, hard|34|1/2 cup|113|16|812|1|1|0|0|91|17,9|40,6|28,8|0,1|3|1066|26|1,31|48|0,2|0,03|0,01|0,04|1122|0,01|0|FATS AND OILS
Butter - Stick|27|1/2 cup|113|16|813|1|0,1|0|247|92|57,3|26,6|3,4|0,2|2|933|26|1,04|29|0,1|0,05|0,01|0,04|852|0,01|0|FATS AND OILS
